alpha,beta,gamma,threshold,edges
0.9,0.1,0.05,0.35,2278
0.9,0.1,0.05,0.45,2268
0.9,0.1,0.05,0.55,1714
0.9,0.1,0.05,0.65,440
0.9,0.1,0.15,0.35,2278
0.9,0.1,0.15,0.45,2267
0.9,0.1,0.15,0.55,1696
0.9,0.1,0.15,0.65,418
0.9,0.1,0.3,0.35,2278
0.9,0.1,0.3,0.45,2267
0.9,0.1,0.3,0.55,1683
0.9,0.1,0.3,0.65,406
0.9,0.1,0.5,0.35,2278
0.9,0.1,0.5,0.45,2267
0.9,0.1,0.5,0.55,1668
0.9,0.1,0.5,0.65,398
0.9,0.3,0.05,0.35,2278
0.9,0.3,0.05,0.45,2268
0.9,0.3,0.05,0.55,1723
0.9,0.3,0.05,0.65,457
0.9,0.3,0.15,0.35,2278
0.9,0.3,0.15,0.45,2267
0.9,0.3,0.15,0.55,1706
0.9,0.3,0.15,0.65,434
0.9,0.3,0.3,0.35,2278
0.9,0.3,0.3,0.45,2267
0.9,0.3,0.3,0.55,1691
0.9,0.3,0.3,0.65,422
0.9,0.3,0.5,0.35,2278
0.9,0.3,0.5,0.45,2267
0.9,0.3,0.5,0.55,1676
0.9,0.3,0.5,0.65,414
0.9,0.5,0.05,0.35,2278
0.9,0.5,0.05,0.45,2270
0.9,0.5,0.05,0.55,1732
0.9,0.5,0.05,0.65,475
0.9,0.5,0.15,0.35,2278
0.9,0.5,0.15,0.45,2269
0.9,0.5,0.15,0.55,1715
0.9,0.5,0.15,0.65,453
0.9,0.5,0.3,0.35,2278
0.9,0.5,0.3,0.45,2269
0.9,0.5,0.3,0.55,1701
0.9,0.5,0.3,0.65,440
0.9,0.5,0.5,0.35,2278
0.9,0.5,0.5,0.45,2269
0.9,0.5,0.5,0.55,1686
0.9,0.5,0.5,0.65,435
0.7,0.1,0.05,0.35,2268
0.7,0.1,0.05,0.45,1357
0.7,0.1,0.05,0.55,126
0.7,0.1,0.05,0.65,30
0.7,0.1,0.15,0.35,2268
0.7,0.1,0.15,0.45,1320
0.7,0.1,0.15,0.55,123
0.7,0.1,0.15,0.65,35
0.7,0.1,0.3,0.35,2267
0.7,0.1,0.3,0.45,1294
0.7,0.1,0.3,0.55,116
0.7,0.1,0.3,0.65,32
0.7,0.1,0.5,0.35,2267
0.7,0.1,0.5,0.45,1285
0.7,0.1,0.5,0.55,111
0.7,0.1,0.5,0.65,26
0.7,0.3,0.05,0.35,2269
0.7,0.3,0.05,0.45,1367
0.7,0.3,0.05,0.55,144
0.7,0.3,0.05,0.65,38
0.7,0.3,0.15,0.35,2268
0.7,0.3,0.15,0.45,1334
0.7,0.3,0.15,0.55,139
0.7,0.3,0.15,0.65,45
0.7,0.3,0.3,0.35,2267
0.7,0.3,0.3,0.45,1311
0.7,0.3,0.3,0.55,132
0.7,0.3,0.3,0.65,39
0.7,0.3,0.5,0.35,2267
0.7,0.3,0.5,0.45,1299
0.7,0.3,0.5,0.55,127
0.7,0.3,0.5,0.65,33
0.7,0.5,0.05,0.35,2270
0.7,0.5,0.05,0.45,1379
0.7,0.5,0.05,0.55,161
0.7,0.5,0.05,0.65,40
0.7,0.5,0.15,0.35,2270
0.7,0.5,0.15,0.45,1344
0.7,0.5,0.15,0.55,153
0.7,0.5,0.15,0.65,48
0.7,0.5,0.3,0.35,2269
0.7,0.5,0.3,0.45,1322
0.7,0.5,0.3,0.55,145
0.7,0.5,0.3,0.65,45
0.7,0.5,0.5,0.35,2269
0.7,0.5,0.5,0.45,1312
0.7,0.5,0.5,0.55,141
0.7,0.5,0.5,0.65,42
0.5,0.1,0.05,0.35,696
0.5,0.1,0.05,0.45,43
0.5,0.1,0.05,0.55,1
0.5,0.1,0.05,0.65,0
0.5,0.1,0.15,0.35,643
0.5,0.1,0.15,0.45,53
0.5,0.1,0.15,0.55,7
0.5,0.1,0.15,0.65,0
0.5,0.1,0.3,0.35,625
0.5,0.1,0.3,0.45,49
0.5,0.1,0.3,0.55,11
0.5,0.1,0.3,0.65,0
0.5,0.1,0.5,0.35,614
0.5,0.1,0.5,0.45,42
0.5,0.1,0.5,0.55,8
0.5,0.1,0.5,0.65,0
0.5,0.3,0.05,0.35,726
0.5,0.3,0.05,0.45,52
0.5,0.3,0.05,0.55,8
0.5,0.3,0.05,0.65,1
0.5,0.3,0.15,0.35,671
0.5,0.3,0.15,0.45,57
0.5,0.3,0.15,0.55,15
0.5,0.3,0.15,0.65,2
0.5,0.3,0.3,0.35,653
0.5,0.3,0.3,0.45,54
0.5,0.3,0.3,0.55,18
0.5,0.3,0.3,0.65,2
0.5,0.3,0.5,0.35,643
0.5,0.3,0.5,0.45,49
0.5,0.3,0.5,0.55,14
0.5,0.3,0.5,0.65,3
0.5,0.5,0.05,0.35,762
0.5,0.5,0.05,0.45,58
0.5,0.5,0.05,0.55,19
0.5,0.5,0.05,0.65,3
0.5,0.5,0.15,0.35,713
0.5,0.5,0.15,0.45,63
0.5,0.5,0.15,0.55,21
0.5,0.5,0.15,0.65,5
0.5,0.5,0.3,0.35,693
0.5,0.5,0.3,0.45,60
0.5,0.5,0.3,0.55,25
0.5,0.5,0.3,0.65,6
0.5,0.5,0.5,0.35,683
0.5,0.5,0.5,0.45,54
0.5,0.5,0.5,0.55,23
0.5,0.5,0.5,0.65,4
