seg_idx,t_start_s,t_end_s,t_start_device_ns,t_end_device_ns,transcript,gaze_yaw_mean_rad,gaze_pitch_mean_rad,gaze_depth_mean_m,gaze_yaw_std_rad,head_accel_mag_mean,head_gyro_mag_mean,gps_speed_mps,body_state,lat,lon,left_hand_visible_frac,right_hand_visible_frac,discourse_level,discourse_label,discourse_confidence,seg_dur_s,f0_mean_hz,f0_std_hz,f0_range_hz,voiced_frac,energy_mean,energy_std,pause_frac,ser_arousal,ser_dominance,ser_valence,lang,level,label,confidence,rationale
0,0.95,7.77,3419423257012,3426239257012,"El hecho de que haya tantos elementos líticos de esta roca que han sido eliminados,",-0.1211,-0.2658,0.714,0.191,9.908,0.5075,0.449,scanning,45.9515877,8.9248123,0.03,0.194,1,concrete,0.9,6.82,250.6,35.0,177.2,0.832,0.00233,0.00098,0.0,0.3953,0.4418,0.4907,es,1,concrete,0.9,Describes material properties and actions.
1,8.27,13.05,3426741257012,3431516257012,utilizado para construir la mayoría de los edificios es porque ellos se han dado cuenta,-0.3326,-0.1992,0.586,0.2125,9.982,0.7017,0.424,scanning,45.95158,8.9248266,0.0,0.0,1,concrete,0.9,4.78,217.5,21.4,86.3,0.88,0.0017,0.00074,0.02,0.478,0.4929,0.5413,es,1,concrete,0.9,Explains the use of materials for construction.
2,17.42,20.35,3435894257012,3438818257012,"y los segmentos, las áreas que contenían más cuarzo.",-0.1807,-0.299,0.771,0.1198,9.98,0.7161,0.148,scanning,45.9515953,8.9248362,0.0,0.0,1,concrete,0.9,2.93,227.8,32.3,127.0,0.902,0.00217,0.00085,0.011,0.5258,0.5674,0.5593,es,1,concrete,0.9,Specifies a material's composition.
3,21.45,26.8,3439919257012,3445270257012,Y van a resultar en estructuras en las cuales la...,-0.191,-0.2953,0.642,0.1816,9.949,0.5962,0.0,scanning,45.9515915,8.9248323,0.0,0.352,1,concrete,0.9,5.35,238.5,46.3,212.2,0.774,0.00219,0.00098,0.0,0.4495,0.4915,0.4898,es,1,concrete,0.9,Introduces the direct outcome on structures.
4,27.84,29.29,3446313257012,3447757257012,la concentración del calor,-0.0479,-0.1708,1.981,0.139,10.022,0.9853,0.0,scanning,45.9515915,8.9248333,0.0,0.0,1,concrete,0.9,1.45,241.6,24.0,131.7,1.0,0.00298,0.00109,0.0,0.4908,0.5117,0.5395,es,1,concrete,0.9,Names a specific physical property.
5,30.03,35.83,3448501257012,3454296257012,iba a ser superior y cuando hay mucha estacionalidad esto es un hecho crítico porque,-0.2315,-0.3164,0.489,0.133,9.917,0.2807,0.0,scanning,45.9515877,8.9248323,0.0,0.0,2,contextual,0.8,5.8,240.7,31.7,131.3,0.725,0.00189,0.00104,0.005,0.5009,0.5299,0.5195,es,2,contextual,0.8,Frames the general importance of the property.
6,36.53,43.25,3454998257012,3461720257012,"Porque significa que tú necesitas hacer menos fuegos, o sea, calientas mejor la casa.",-0.0527,-0.2123,1.565,0.234,9.988,0.7877,0.0,scanning,45.9515915,8.9248323,0.0,0.0,1,concrete,0.9,6.72,252.6,37.2,172.4,0.602,0.00157,0.00062,0.005,0.5123,0.5165,0.5477,es,1,concrete,0.9,"Explains a practical, concrete benefit."
7,43.87,45.3,3462342257012,3463766257012,Esencialmente calientas los ojos.,0.1944,-0.2571,1.867,0.1209,10.042,1.2093,0.514,walking,45.9515839,8.9248323,0.0,0.0,1,concrete,0.7,1.43,289.9,37.1,110.0,0.933,0.00171,0.00074,0.0,0.473,0.4692,0.2879,es,1,concrete,0.7,"Emphatic, informal description of effect."
8,45.34,47.68,3463806257012,3466151257012,"Ah, otra cosa, no solamente desprende el calor.",-0.0963,-0.2663,1.456,0.1592,9.997,0.6008,0.424,scanning,45.9515877,8.9248257,0.0,0.25,1,concrete,0.8,2.34,269.7,52.8,199.2,0.541,0.00173,0.00039,0.0,0.6833,0.6547,0.4348,es,1,concrete,0.8,Introduces new concrete material property.
9,49.61,51.85,3468076257012,3470321257012,lentamente y progresivamente.,0.0982,-0.3076,0.512,0.1864,9.942,0.6401,0.221,scanning,45.9515839,8.9248209,0.0,0.0,1,concrete,0.9,2.24,206.5,20.7,68.1,0.817,0.0012,0.00049,0.0,0.4859,0.4871,0.5229,es,1,concrete,0.9,Describes the manner of heat release.
